,name,num
0,冰毒,207
1,海洛因,102
2,各类毒品,101
3,"海洛因,冰毒",19
4,大麻,17
5,K粉,16
6,鸦片,12
7,可卡因,8
8,"K粉,冰毒",6
9,止咳水,5
10,摇头丸,5
11,各种毒品,4
12,"各类毒品,冰毒",3
13,"海洛因,各类毒品",3
14,"鸦片,冰毒",3
15,"大麻,冰毒",3
16,"海洛因,鸦片",2
17,"神仙水,冰毒",2
18,"神仙水,K粉",2
19,吗啡,2
20,"海洛因,大麻,冰毒",2
21,"海洛因,可卡因",2
22,"摇头丸,K粉",1
23,"神仙水,开心水",1
24,"开心水,摇头丸,冰毒",1
25,"摇头丸,冰毒",1
26,"可卡因,鸦片,冰毒,海洛因,大麻,吗啡",1
27,神仙水,1
28,"海洛因,摇头丸,冰毒",1
29,三唑仑,1
30,"邮票,摇头丸",1
31,"海洛因,可卡因,冰毒",1
32,"海洛因,各类毒品,冰毒",1
33,卡痛叶,1
34,咔哇潮饮,1
35,邮票,1
36,FIVE,1
37,"海洛因,摇头丸,K粉,冰毒",1
38,GHB,1
39,"海洛因,鸦片,各类毒品,冰毒",1
40,笑气,1
41,"吗啡,海洛因",1
42,蓝精灵,1
43,"摇头丸,K粉,冰毒",1
44,"海洛因,鸦片,摇头丸,冰毒",1
